sample_id,zoopTotal_sum,FF_sum,Omni_sum,Carni_sum,Cope_omni_sum,Cope_carni_sum,Cal_omni_sum,Cal_carni_sum,Cyc_omni_sum,Cyc_carni_sum,otherCopepods_omni_sum,otherCopepods_carni_sum
144-88,173.3333,0.6667,119.3333,53.3333,119.3333,52.6666,115.3333,0,4,52.6666,0,0
144-9,138.6668,2.6667,33.3334,102.6667,17.3334,102.6667,17.3334,0,0,102.6667,0,0
145-1,195.3333,0,27.3333,168,26.6666,168,26.6666,0,0,168,0,0
145-10,123.3333,1.3333,10,112,10,112,7.3333,0,2.6667,112,0,0
145-11,120.6667,2.6667,22.6667,95.3333,22.6667,95.3333,4.6667,0,18,95.3333,0,0
145-12,40,0.6667,10,29.3333,10,29.3333,1.3333,0,8.6667,29.3333,0,0
145-13,26.6667,0.6667,8,18,8,18,2.6667,0,5.3333,18,0,0
145-14,24.0001,2,3.3334,18.6667,3.3334,18.6667,2.6667,0,0.6667,18.6667,0,0
145-15,24,0.6667,2,21.3333,0.6667,21.3333,0.6667,0,0,21.3333,0,0
145-16,19.3333,2,2,15.3333,0.6667,15.3333,0.6667,0,0,15.3333,0,0
145-17,38.6667,2,2.6667,34,2,34,2,0,0,34,0,0
145-18,43.3333,2,2,39.3333,1.3333,39.3333,0,0,1.3333,39.3333,0,0
145-19,76,0,4,72,4,72,2.6667,0,1.3333,72,0,0
145-2,120.6668,0,21.3334,99.3334,21.3334,99.3334,18.6667,0,2.6667,99.3334,0,0
145-20,43.9999,2,1.3333,40.6666,1.3333,40.6666,0,0,1.3333,40.6666,0,0
145-21,49.3334,1.3333,3.3334,44.6667,3.3334,44.6667,0.6667,0,2.6667,44.6667,0,0
145-22,16,2,1.3333,12.6667,1.3333,12.6667,0,0,1.3333,12.6667,0,0
145-23,6.0001,0.6667,2.6667,2.6667,2.6667,2.6667,0.6667,0,2,2.6667,0,0
145-24,8,0,1.3333,6.6667,0,6.6667,0,0,0,6.6667,0,0
145-25,8,0.6667,3.3333,4,0,4,0,0,0,4,0,0
145-26,23.3333,2.6667,7.3333,13.3333,0,13.3333,0,0,0,13.3333,0,0
145-27,44,4,6,34,1.3333,34,0,0,1.3333,34,0,0
145-28,37.3334,2.6667,8,26.6667,0.6667,26,0,0,0.6667,26,0,0
145-29,51.3334,2.6667,10,38.6667,0.6667,38.6667,0.6667,0,0,38.6667,0,0
145-3,108,0.6667,15.3333,92,15.3333,92,14,0,1.3333,92,0,0
145-30,72,12.6667,8,51.3333,0,51.3333,0,0,0,51.3333,0,0
145-31,52.0001,6,8.6667,37.3334,0,37.3334,0,0,0,37.3334,0,0
145-32,40.6667,10,4.6667,26,0,26,0,0,0,26,0,0
145-33,23.3333,4,1.3333,18,0,18,0,0,0,18,0,0
145-34,5.3334,1.3333,0.6667,3.3334,0,3.3334,0,0,0,3.3334,0,0
145-35,4.6667,0.6667,0.6667,3.3333,0.6667,3.3333,0,0,0.6667,3.3333,0,0
145-36,0.6667,0,0.6667,0,0.6667,0,0,0,0.6667,0,0,0
145-37,2.0001,0,0.6667,1.3334,0.6667,1.3334,0,0,0.6667,1.3334,0,0
145-38,11.3334,2,0.6667,8.6667,0,8.6667,0,0,0,8.6667,0,0
145-39,5.3334,0,1.3334,4,0.6667,4,0,0,0.6667,4,0,0
